text,stars,actual_sentiment
I will come to it next time it is very good,5,positive
Very Nice,5,positive
the chicken and meat is tastelesss with no spices,1,negative
ملك ملغوم شاورما اللحم,5,positive
صاروخ لحم 👍,5,positive
كالعاده الشاورما الأفضل الدجاج بالبحرين,5,positive
So good also the burger is so 👍😊😊,5,positive
الملغوم الحم مالهم زين,5,positive
"Double check your order here—they served us one thing and billed us for another without any explanation.
Be careful!",1,negative
طلبت 4 ملغوم دجاج خلال اقل من دقيقة جابهم لي اكتشفت انهم جاهزين من قبل وزبون ما اخذهم خبرته يسوي لي غيرهم ونزلت عشان اشوف مايصير تعطيني اكل بارد خاصتا الشاورما لازم يكون فرش وتسويه نفس الوقت طبعا هذا التقييم حق الاكل اللي رجعته بس الاكل اللي عطاني عقب كان ممتاز وحار,2,negative
جيد بنسبه الى مطاعم الشاورما القريبه له لاكنه يحتج الى الاهتمام بالنظافة قليلا و بعض الأحيان يصل الطلب والاكل غير مستوي كفايه بسبب كثرت الطلبات,2,negative
شنهو مصادر اللحوم والدجاج هذاي نبي نعرف له,1,negative
nice local sandwiches,4,positive
الشاورما لحم حلوه,4,positive
ملغوم اللحم ممتاز ولذيذ واجد أحسن مكان يضبطه الزحلاوية في البحرين، لكن عندي ملاحظة بسيطة الاكل ساعات جنه مصخن وساعات مو حار .,4,positive
جيد جداً,4,positive
عادي جدا,2,negative
بهارات شاورما الدجاج كثيرة وشاورما اللحم غير جيدة. يوجد غيره خيارات افضل,3,neutral
من أفضل وأقوى مطاعم الشاورما فى المنامة ❤️🤍,4,positive
✌🏻,5,positive
Nice food,5,positive
سيئ جداً لا انصح خصوصا الدجاج فيه خيارات افضل بكثيرر,1,negative
The taste is very bad...moreover too salty as well. I will never order again.,1,negative
الصراحه عرض يوم الاربعاء خمس وجبات بسعر 66 ريال مايتفوت,5,positive
مطعم جميل وأجواءه مريحة جدًا، الجلسات العائلية واسعة ومريحة. طلبت وجبة مشاوي وكانت لذيذة ومشبعة. الأسعار مناسبة مقارنة بالجودة، والعمال محترمون ومتعاونون. يستحق الزيارة أكثر من مرة.,5,positive
من افضل الأكلات في الطعم والجوده,5,positive
The nostalgic feeling when i ate malghoom,5,positive
"الي عنده امساك ياكل منهم لأنهم معروفين بهالشي
اتوقع عندهم سر بخلطة الشاورما الي تخليك يومين تقعد بالبيت من قوة الإسهال",1,negative
Must try,5,positive
ملغوم اسطوري,5,positive
من الذ الشاورما فالبحرين,2,negative
معشوقي والله كل م اشتهيت شاورما ي اروح له ولا حق شاورما العسلي,5,positive
Pickup very fast during weekend very crowded.,5,positive
"Chicken shawarma is missing the og garlic sauce, not just tahini and hot sauce. Taste could be better.",3,neutral
Great malghoum place,3,neutral
"Any time of the day or night, shawarma is available. Decent taste",4,positive
"I order just shawarma for takeaway they bring shawarma with drink and some extras trying to sell it to me as they don’t know if i ordered it or
No, i have been there several times in order to confirm that they do that same again and again… they earn much more profits then other shawarma restaurants but still Greed doesn’t have any cure. No more visit to them again.",2,negative
خذتها على مدح الناس هي فعلا حلوه لكن بتعيش في الحمام 4 ساعات,3,neutral
Not the best shawarma but the good thing that they open until late time,3,neutral
تعبان حده و شاورما كلها بهارات و يسويها لك بخبز بوراتا اللي هو شباتي,1,negative
